Book	Chapter	Verse	Ivatan	Yami
1 Corinthians	1	13	Maparin paro o timban naya ni Cristo a abnekan so karakohan na a paychasisiayen? Anmana maysosobna paro o pawnotan ni Cristo? Si Pablo paro o pinapasek a omadidi dinio? Anmana chinabawtismoan kamo paro do ngaran aya Pablo?	So yanyo icyakmey amvonong so kataotao na ni Yeso Kizisto. Manngwa, yaken o nimawakwak ninyo do jyojika an? Manngwa, yada inyo nitaktakan no ngaran ko an?
1 Corinthians	1	14	Mamahemahes ako do kabo da no nibawtismoan ko dinio a katadkan da Crispus kani Gaius,	Ko isaray ji Ama ta do to an. Ta si Kedisepo a kani Cyayo o nitaktakan ko. So na ikabo no ikararwa na nira ori a nitaktakan ko.
1 Corinthians	1	15	ta tarek a mian dinio o maychawaw a makavata so nakabawtismo sia do ngaran ko.	So ikabo na jinyo no manci no kanitomaktak ko jinyo no ngaran ko.
1 Corinthians	1	16	(Nibawtismoan ko pa sawen si Estefanas kano familia na. Katadkan da nia am ara pa sava o manakem ko a nibawtismoan ko daw.)	Si Setiva rana asa ka vahay o ko nikahamangan a nitaktakan. So ko na ji makatenngi do na keyyan pa no nitaktakan ko jinyo do dang.
1 Corinthians	1	17	Ta tinovoy akoava ni Cristo a manbawtismo, ta no kapawnonong ko so Evanghelio naya a di manerbi so tanyan ko a kasolivan, ta tarek a nia o mapabo so ipakapamarin kano inmonmoan no nakadiman aya ni Cristo do kros.	Ta o nipamnekan na jyaken ni Kizisto am beken a manaktak. Ta kapeylimwang ko no Mapasaray a Ciriciring na ni Ama ta do to. So ji ko mangozai do teneteneng ko a mangononong. Ta si akman sang am o teneteneng ko a mangononong o ikakza da ahapen no tao, a kaji da na ngapan so oyowyat no mina kawakwak na ni Kizisto do jyojika.
1 Corinthians	1	18	No kakawnonongan do kros aya am arava o inmonmoan na dira do tayto pa do panayahboan no kadimanan, asna diaten a torohan na so kalibrian am niaya o ipakapamarin no Dios.	O ipeylimwang a jyojika ni Yeso Kizisto am abo o peypeypangayan na do ji manganoyong a tao. Am yaten a na patazadangen do teyngato ni Ama ta do to am tey rako ori a oyowyat na ni Ama ta do to.
1 Corinthians	1	19	Akma ya so vatahen no nakatolas a Chirin no Dios, “Rarayawen ko anti o kasolivan da no rakoh so pinachinanawan as kapabo ko so inmonmoan no kasolivan da no masosolib.”	Ta maniring do Seysyo am, “Balinasen ko o teneteneng da no ji raralay nyaken a tao kaji na mangononongan no ahapan da so vazay da.”
1 Corinthians	1	20	Sichangoriaw am ango paro pa o kapahapan sira no Dios o masosolib kano maato so pinachinanawan do tana aya kanira no mapia saya do dibati. Arava, ta tayto na pinayvadiw a abo so sinmo o kasolivan no mondo aya.	No akman sang am wanjin o teneteneng da no mateneng a tao. Wanjin o teneng da no aro so nivilangan a tao. Wanjin sira o makey a macinekanekad a tao do karawan. So na nipeyolyan sya ni Ama ta do to so teneteneng no tao do karawan abo so angangayan.
1 Corinthians	1	21	Dawa no Dios a makayamot do makakniknin a kasolivan na am tayto na niplano o kadi na parinyan no tawo a makasinchad so Dios do tanyan na a kasolivan as kanawri no tayto na sincharan a ichalibri no tawo o kapanganohed da do ipapanmo namen aya a nia so vatan no mondo aya a abo so inmonmoan.	Tey makdeng o teneteneng na ni Ama ta do to. So ikabo no tao do karawan a mangozay do teneteneng da makateneng ji Ama ta do to. Am kanimamnek na ni Ama ta do to do yada ipanci abo so peypeypangayan a yanamen ipeylimwang a yana ivyay so omanoyong jya tao.
1 Corinthians	1	22	Ta sira o Judeo saya am nawri o kakey da manganohed an mian sa o milagro as sira o Griego am nawri o ichakey da panganohdan o maato a kasolivan no tawo do mondo aya.	Kakdain da no tao do Yotay o kapakacita da so mapeyzokab a vazay. Ta ori o yanoyong da ji Ama ta do to. Kakdain da no tao do Sila o kateneng da. Ta ipeyhanhan da o teneteneng no tao do karawan.
1 Corinthians	1	23	Pero no pawnonongen namen am si Cristo a pinapasek do kros a nia so asa ka kadodogan dira do Judeo as abo so sinmo dira do rakoh saya so pinachinanawan a Hentil,	Am yanamen ipeylimwang si Kizisto a nipadket da do jyojika. O akman rana sang do tao do Yotay am ipacimanig da. Am no citahen da o akman sang no beken a tao do Yotay am abwata o ayyaingan na.
1 Corinthians	1	24	amna dira do atavo a tominbay so tawag aya no Dios a mayalit o Judeo anmana Hentil am si Cristo o yanan no ipakapamarin no Dios as pakatongtongan no mato a kasolivan na.	Am do tao do Yotay a kano beken a tao do Yotay a nipamnekan na ni Ama ta do to a omanoyong ji Kizisto am katenngan da si Kizisto a yanan no rako a oyowyat na ni Ama ta do to a kano teneteneng na ni Ama ta do to.
1 Corinthians	1	25	Ta no mato dana a kasolivan a maparin a matodah no tawo am marayi pa do vatahen daya a kaboan no kasolivan no Dios an kwintas mian o maparin a abnekan so kaboan no kasolivan na as no rákoh dana a ipakapamarin no tawo am dodaw ava maparin a pakomparahen do vatahen da a kaboan no ipakapamarin no Dios.	Ta o todalapit a teneng ni Ama ta do to am maharahara pa kano teneteneng no tao. O alikey a oyowyat ni Ama ta do to am rakorako pa kano rako a oyowyat no tao.
1 Corinthians	1	26	Iktokto nio pa kono a kakakteh o kaparin nio do nakatawag dinio no Dios. Aro sava dinio o mavahey a mato so pinachinanawan kano maato so anongen anmana yapo do maato a familia.	Manga kakteh, naknakmen nyo an. Ta akman kamo so wanjin a tao no kapamnek na jinyo ni Ama ta do to. No ahapen ta do tao am apereh jinyo o mateteneng a kano meynakem a tao.
1 Corinthians	1	27	Pero namidi o Dios so vatan sa so abo so kasolivan a mapasnek nira no maato so pinachinanawan as kanira no maahbo a mapahbo sira so maato a tawo do tana aya.	Am nipamnekan na ni Ama ta do to o ipangoyongoyod da a jyateteneng a tao do karawan, mangay na ipeyleylak so mapahama so nakem a tao do karawan.
1 Corinthians	1	28	Pinidi sa no Dios o makasiasi kano mahohbo kanira no maparoparo do mondo aya a mapabo so sinmo da no tayto aya omahahaw so kaoyod da mato,	Na nipamnekan o ji da pavivilanga a tao do karawan a kano ikaoya da kano ipanci da abwata so pacicingayan a ipaveveh na so ipanci da meynakem a tao do karawan.
1 Corinthians	1	29	tapian abo o tawo a mapamato so karakohan na do salapan no Dios.	Ta ori o ikabo no tao a mapazway do tangain na ni Ama ta do to.
1 Corinthians	1	30	No Dios o pinakayapoan no viay nioaya a makayamot di Jesu Cristo takwan si Cristo o pinarin na a pakayapoan no kasolivan ta, kanamonamoan ta kano kalibrian ta as kasinchad na diaten a mahosto do salapan na.	Am si Ama ta do to o yanimapanop jinyo ji Yeso Kizisto. So na ikanoyong a na yapwan no teneng ta. Iya o na niyapwan no yamvonas so raraten ta. Am ori o na abnekan jyaten ni Ama ta do to a abo so raraten do tangain na. So icyakma tey matnaw a ranom so onowned a macilovot ji Ama ta do to a ji na rana nalamozongan no raraten.
1 Corinthians	1	31	Dawa akma so nakatolas am, “An sino makey a mian so pamatohen am no Apo taya o pamatohen na.”	Akman so ciring do Seysyo. Maniring am, “O mapazway a tao am apyapya pa si Yeso o azwain na.”
1 Corinthians	1	1-2	Si Pablo ako a tinawagan no Dios a asa ka apostol ni Jesu Cristo a makayamot do inolay na as kani Sostenes a kakteh ta. Tayto kami a maytolas dinio do timban aya no Dios do Corinto, dinio a pinayvadiw na a manamonamo a makayamot di Jesu Cristo as tinawagan na a tawotawo na a akma sira so kadwan do matatarek a logar a tayto a omanianib so Apo taya a si Jesu Cristo a iya so Apohen ta atavo.	Yaken rana am si Pawlo ko a yana nipamnekan ni Yeso Kizisto a amlivolivon no ciriciring na a lamlamsoy na ni Ama ta do to. Yaken rana kano akma tey kakteh do cinai si Sotenay am namen ipeyteygami inyo a sinjya do Kedinto a kyokay. Inyo rana kano yamakakaday do peycyeylilyan na a macikaop ji Kizisto a tao am yatamo meyyangangay a na nipamnekan ni Ama ta do to a italamozong na. Si Kizisto am Panirsirngen da. So yata icyakman sang a yamapeypanirsirngen sya.
1 Corinthians	2	1	Kakakteh, do nakangay ko dinio a mapapanmo so nanawo aya a yapo do Dios am nanerbi akoava so maato kano maavid a vahevahey.	No kangay ko pa jinyo no kakwa pa am ji ko nipatwaw o makdeng a ciriciring ko jinyo a kano teneteneng ko a inanao ko jinyo no kapeylimwang ko no ciriciring na ni Ama ta do to jinyo.
1 Corinthians	2	2	Nidisidido ko o kabo no pawnonongen ko an dia voken a si Jesu Cristo a iya so pinapasek.	Ta mina to ko na mamneki do kabo no yamatarek a yako inanao jinyo. Ta si Yeso Kizisto a nipadket da do jyojika o yako inanao jinyo.
1 Corinthians	2	3	As nawara ako dinio a mahbo kano omlayin,	Am ori an, makaranes ko jinyo do dang am malma ko so kataotao amzikzik do kanyahey ko. Ta ihawa ko kaji ko makatenngan do vazay na ni Ama ta do to.
1 Corinthians	2	4	as kadi ko nanerbian so maavid kano makakeakey a vahevahey do komwan do kasolivan no mondo aya asna nananawo ako a pachirayayan no ipakapamarin no Espirito no Dios,	O nipeylimwang ko a ciriciring am beken a masalit a amizngen. So ko ji meyhanhani no ciring ko. Ta yako ipeyhanhan o Seyzi a omoyat jyaken a mapatwaw sya.
1 Corinthians	2	5	tapian di maytetnek o saray nioaya do kasolivan no tawo an dia voken a do ipakapamarin no Dios.	So ikanoyong no nakenakem nyo ji Ama ta do to. Beken a monganay do teneteneng no tao. Ta monganay do oyowyat na ni Ama ta do to.
1 Corinthians	2	6	Amna dira do matotoneng dana do saray taya am maparin kami a manerbi dira so maarahem a kakawnonongan amna niaya ava o maynyoha a kasolivan no tawotawo sichangoriaw kanira no maato so anongen do mondo aya,	Am o yamakekdeng so nakem ji Ama ta do to am yako peylimwangan no yamakdeng a nanao. Am beken a monganay do tao do karawan o teneteneng. So ji ko makalavaci so teneteneng no panirsirngen do karawan. Ta amyan so kasaraw a kabo na no teneteneng da.
1 Corinthians	2	7	ta niaya o mato aya a kasolivan no Dios do plano na a kapachichasa ta sia a abo so pandan a nia so adan dana a plano na a manam so nakasitnan no mondo aya.	O yako ipeylimwang eya am ji da pa nipatwaw no tao no kakwa a teneteneng na ni Ama ta do to. Ta no kaji na pa mamaogan no karawan am amyan rana ori a nakenakem na ni Ama ta do to do kapacikaop ta jya no makwa.
1 Corinthians	2	8	No akmaya sia a mato a plano no Dios am naintindi dava no maato so anongen do mondo aya, ta an naintindi da ya am pinapasek dava sigoro o mato aya a Apo ta.	O panipanirsirngen do karawan am abo jira o manoyong a makateneng do pamnemnekan na ni Ama ta do to. No nikatenngan da am jyabo kato da padketan so mazway a Panirsirngen ta do jyojika.
1 Corinthians	2	9	Amna akma so vatahen no nakatolas a Chirin no Dios am, “Tayto pa dia voya kano diadngey no tawo as kano tayto pa dia todah no aktokto no tawo o niprepara no Dios dira do maddaw nia,”	Akman so ciring do Seysyo. Ta maniring am, “O nakem na ni Ama ta do to a itoro na do amraralay nya tao am ji da pa nimacita no mata da. Ji da pa nimamizing no cicilwan da. Ji da pa nimanakem no tao.”
1 Corinthians	2	10	amna ipaintindi sa ya diaten no Espirito naya takwan voyvoh o Espirito aya o makapanmo so plano kano kasolivan no Dios.	Am na kasidong jyaten no Seyzi na ni Ama ta do to a ta ipakateneng jya. Ta katenngan no Seyzi o makakaday a vazay. Katenngan na o jyatenngi a vazay na ni Ama ta do to.
1 Corinthians	2	11	As akma so kabo no tawo a makapanmo so aktokto no asa ka tawo an dia no mismo a karakohan na am nawri o kaparin no kabo no makapanmo so plano no Dios an dia voyvoh a no Espirito naya.	Ji ta tenngi o nakenakem da no tao, ta o kataotao da o makateneng jya. Akman sang an, ta o Seyzi na ni Ama ta do to o makateneng do makakaday a vazay na ni Ama ta do to.
1 Corinthians	2	12	As yaten sichangoriaw am nawri ava o narawat ta o kasolivan kano pangtoktoan no mondo aya an dia voken a no Espirito aya a yapo do Dios a iya so mapapanmo nia diaten o tayto na sa parawaten diaten no Dios.	Tanyo jya nyahap o teneteneng da no tao do karawan. Ta o nitovoy na ni Ama ta do to a Seyzi am ori o ta nyahap. Ori o ta ipakateneng do makakaday a aryarilaw na jyaten ni Ama ta do to.
1 Corinthians	2	13	Dawa do katayto namen a mapawnonong so kakawyoran aya am ara kamiava machidepende do kasolivan no tawo an dia voken a do sidong diamen no Espirito no Dios do kapawdi namen so kakawyoran aya dira do tayto dana yanan no Espirito aya.	Ori an, ikabeken a teneteneng no tao o namen inanao jinyo a ciriciring. Ta ciriciring no Seyzi o namen ninanao jinyo a na yanan rana no Seyzi na ni Ama ta do to.
1 Corinthians	2	14	No tawo a kaboan no Espirito no Dios am mapasdep nava do aktokto na o kakawyoran aya a ipananawo no Espirito, takwan arava o inmonmoan no kakawyoran aya do akmaya sia a tawo. Takwan voyvoh sa a makaintindi so kakawyoran aya am sira o tayto dana yanan no Espirito aya no Dios.	O kabwan no Seyzi na ni Ama ta do to am ji na hap o itoro no Seyzi na ni Ama ta do to. Ta o akman rana sang a tao am ji da tenngi o akman sang a vazay. Ta ipanci da abo so angangayan. Ta o yanan no Seyzi na ni Ama ta do to o makateneng jya.
1 Corinthians	2	15	Asna no tawo a pawnoten no Espirito no Dios am mapaybinbin na o mapia kano marahet. Asna no tawo a kaboan no Espirito no Dios am maintindi nava o kaparin no akmaya sia tawo.	O yanan no Seyzi na ni Ama ta do to a tao am ori o makateneng do monganay ji Ama ta do to a vazay. Am o kabwan no Seyzi a tao am ji da tenngi o monganay ji Ama ta do to a vazay. Am ori o ji da zyaki no akman sang a tao.
1 Corinthians	2	16	Niaya am akma so nakatolas a makavata sia, “Ara dana paro nakapanmo so mian do aktokto no Apo taya anmana ara paro o makapanmanma do Dios?” Arava. Amna tayto na ipapanmo no Espirito diaten o pangtoktoan kano ichahoho ni Cristo.	Akman so ciring do Seysyo. Maniring am, “Sino makateneng do onowned na ni Ama ta do to. Sino makayokod nya.” Am yaten takamo a yana yanan no Seyzi na ni Ama ta do to am katenngan ta o onowned na ni Kizisto.
1 Corinthians	3	1	Amna kakakteh, tayto ko paynio dia parin a konsideran so pawnoten no Espirito no Dios do katayto nio pa nawri so onotan o marahet a ichakey nio as katayto nio pa makaha do saray taya ni Cristo.	Manga kakteh, ji ko na naywa jinyo o ciring ko. No kananao ko pa jinyo no kakwa am ji ko meyhanhanan inyo a ipeypalanginan na no Seyzi. Ta monganay kamo pa do karawan. So nyo icyakmey kanakan pa so nakenakem a yaji meypahagnat a yamraralay ni Kizisto.
1 Corinthians	3	2	Pinakakma koynio so kametdehan kanaw a di pa naposin a nawri so ipakan dinio o gatas do kadi nio pa makakanan so mahoto. Amna manda sichangoriaw am tayto kamo pa dia parin do pawnotan koaya dinio,	Ori o ko peyyopan pa jinyo no meyzoko, ta marahet pa o kapakan ko jinyo no cinvevekeh. Ta ji nyo anget. So nyo ikakman sang sicyaikwaya a yaji ngahap so yamakdeng a yako inanao jinyo.
1 Corinthians	3	3	ta tayto pa nawri onotan nio o marahet sa a ichakey nio a akma so kaynanahet kano kapaysosobna nio a nia so ichabo no ipachitarek nio do kaparin no kaaroan no tawo.	Ta inyo rana am nyo pa pangozayan o icicirawat no tao. Ta amyan pa jinyo so yamanginanahet a kano yamgalagal a tao. O na ikakman sang am kakownongan na no nyo kapacikaop pa do karawan.
1 Corinthians	3	4	No pakayapoan no vatan ko sia ya am tayto sa dinio o makavata so ka si Apostol Pablo no onotan da. No kadwan sa dinio am si Apollos kono o onotan da. Ara kamo paroava pawnoten no tanyan nio sa ichakey?	Yamyan so yatatasa jinyo a yamanci no, “Yaken am yako macyanod ji Pawlo.” Yamyan so tao a yamanci no, “Yaken am ko macyanod ji Apolo.” So nyo ipeyyangay pa kano yaji nganoyong ji Yeso a tao.
1 Corinthians	3	5	Sino paro si Apollos anmana si Pablo an di sa tod a pachirawatan a pinaytaysa so anongen no Apo taya a mapawnot dinio a manganohed.	Ikongo angangayan ni Apolo a ka nyaken. Yamen rana am na kapeylamlamsoy jyamen ni Ama ta do to a yamapalolo jinyo a yaomanoyong ji Yeso Kizisto. Ta namen to mangozai o nitoro na ni Ama ta do to a vazay.
1 Corinthians	3	6	Yaken o nanokos as si Apollos o naydilig pero voyvoh o Dios o makapatovo so tinokos aya.	Ko nimowa a na kataktak jya ni Apolo. O amzowazovo sya am si Ama ta do to.
1 Corinthians	3	7	Dawa makapachikompara ava o trabaho aya no manokos anmana no maydilig do Dios a iya so tomoroh so viay do tinokos aya.	O mapamowa sya kano tomaktak jya am todalapit pa ori a vazay. Am o amzowazovo sya am si Ama ta do to.
1 Corinthians	3	8	Amna mayalit sa o manokos kano maydilig a pachirawatan a sira anti so maytaysa a makarawat so vahes da a omononot do natrabaho da,	O mapamowa sya kano tomaktak jya am meyyangay a lamlamsoy na ni Ama ta do to. So to na palololoi sya ni Ama ta do to do lamlamsoy na so itoro na jira.
1 Corinthians	3	9	takwan pasidongen na yamen no Dios do trabaho naya as inio o takey aya kano patneken no Dios a vahay na.	Yamen rana am namen macipeyvazay ji Ama ta do to. Inyo rana am kanyo akmey nihakawan na ni Ama ta do to a namen pirwahen pa. So nyo icyakmey vahay a na patneken ni Ama ta do to.
1 Corinthians	3	10	Do sidong kano mando no Dios diaken am tayto ako a makasolib a mapangay so soyid no vahay aya no Dios a nia so tayto a patongtongen no kadwan amna mayanong o kapakapatak no mapawnot do pinangay aya soyid,	No ko pangozayan o nitoro na jyaken ni Ama ta do to a teneteneng am ko akmey mateneng a mangamaog so vahay a tao, do kanimapangay ko so soil na a katonton da jya pakapyahen do teyngato no karwan no tao. So pakapyan da so paringen da vahay.
1 Corinthians	3	11	takwan arava o kadwan a soyid an dia si Jesu Cristo a iya so tayto dana pinatnek.	Ta abo ikararwa na ni Yeso Kizisto a nipamnekan na ni Ama ta do to a akma ney soil.
1 Corinthians	3	12	Amna mian sa do mapatongtong sia o pinatnek aya o manerbi so vohawan, polak anmana mapresioso a bato. Mian pa sa o manerbi so kayo, bochid anmana pakey no trigo,	O mangamaog so vahay a tao am amyan so mangamaog no vowawan. Amyan so mangamaog no lalitan. So iyan no tao a mamaring no kayo a kano vocid.
1 Corinthians	3	13	amna do ito araw a kapaysekasekad am maytotwaw anti o kaparin no trabaho no kada tawo takwan mian anti o apoy a proyban do natrabaho no atavo.	Am o mina vazay ta am macita ta rana no makwa o kehni na a kaji nehniyan. Ta no marateng rana o araraw na no yai ni Yeso am patwawen na rana. Ori o ipakateneng rana jya. Ta no makwa am askadan na rana ni Yeso o mina vazay ta.
1 Corinthians	3	14	An sino anti o dia temtem so natrabaho am makarawat anti so primio,	O mehni so niparing a tao am ori o mavezed. O akman rana sang a tao am ori azawen na.
1 Corinthians	3	15	as an sino o matemtem so natrabaho am mabo o primio na amna malibri sa ya pero akma sa anti yay nakalibri do namay a abo so nahap.	Am o jyehni so niparing am abo azaw na. Am ahapen na ni Ama ta do to do teyngato, do kakma ney nimakagag so kataotao na do apoy.
1 Corinthians	3	16	Chinawayakan nio na paro o kainio na no yanan aya no Dios as katayto na dinio no Espirito naya?	Manngwa, nyo jyatenngi o na kapacilovot jinyo ni Ama ta do to? Manngwa, nyo jyatenngi na keyyan jinyo no Seyzi?
1 Corinthians	3	17	Kapanmohen nio ta an sino omlapolapos so yanan no Dios am makarawat so kastigo takwan no logar a katdan no Dios am manamonamo, as no tongdohen naya a yanan na am inio.	Am ori an, no si amyan so tao a mapeykaraherahet so kataotao na a na pacikaopan ni Ama ta do to am jyabo kaji na patovilan jya. Ta o pacikaopan ni Ama ta do to a tao am abo karatan na. Inyo rana am yamyan jinyo si Ama ta do to.
1 Corinthians	3	18	Kaboay no omloko so mismo na karakohan do kavata na so kayan no rakoh a kasolivan na, ta an sino makey no somnivog a kasolivan am mayanong o katadichokod na do tanyan na a kasolivan.	Ji nyo ngalalasa o aktokto no kataotao nyo an. No amyan jinyo so ominara so icicirawat no tao do karawan a mapazway so teneng na am iptad na rana o kapakateneteneng na. Ta ori o ikanoyong na mateneng a tao.
1 Corinthians	3	19	Takwan no kasolivan no tawo do mondo aya am arava o inmonmoan na nia do Dios as nakatolas pa, “Paspangen sa no Dios no mismo daya kasolivan o makavata so kasosolib da,”	Ta o ipanci no tao do karawan a mateneng am ipanci na ni Ama ta do to a jyateneng a tao. Akman so ciring do Seysyo. Maniring am, “O mateneng a tao am kalittan sira no teneng da kaji na mangononongan no vazay da.”
1 Corinthians	3	20	as nakatolas pa, “Mapanmo no Apo taya o kabo no sinmo no pangtoktoan da no makavata sia o kasolib da.”	O ciring pa do Seysyo am, “Katenngan na ni Ama ta do to o kabo no peypeypangayan na no naknakmen da no mapakateneteneng a tao.”
1 Corinthians	3	21	Dawa mayanong o kabo no mapamato kano mapangay so saray na do tawo. Ta tinoroh dana dinio no Dios o atavo:	Am ori o ikabo no tao a mapazway a manci no kownot na do kadwan jyamen. Ta yamen rana a yamangnanao am nitovoy na yamen jinyo ni Ama ta do to a amnanao jinyo.
1 Corinthians	3	22	si Pablo, si Apollos, si Cefas, no tana aya, viay, kadimanan, no marawat nio sichangoriaw as kan do manam pa a tiempo,	Yamen rana si Apolo a kani Pite am namen meyyangangay a nitovoy na ni Ama ta do to a somidong jinyo. Tana karawan a tana mavyay kano mawakwak a tana sicyaikwaya kano makwa am o yamakakaday rana ya am nitoro na ni Ama ta do to a ipeypapya nyo.
1 Corinthians	3	23	takwan tayto kamo a machichasa di Cristo a iya so tayto a machichasa do Dios Ama.	Am naknakmen nyo an, ta inyo am na italamozong ni Kizisto an. Si Kizisto am amizngen na si Ama ta do to.
1 Corinthians	4	1	No mayanong a kasincharan diamen am pachirawatan ni Cristo a tayto a pinainkargadoan na so nanawo no Dios a dia pinapanmo kaychowa.	Inyo rana am panadnaden nyo yamen a lamlamsoy na ni Kizisto a nipamnekan na ni Ama ta do to a meylimwang no ciriciring na an. Ori rana am ji da tenngi no tao no kakwa.
1 Corinthians	4	2	As no tayto a pinarawatan no Dios so anongen am mayanong o kapatongtong na sia so kapiahen o anongen naya.	O kakzeben no lawpan do lamlamsoy na am manoyong so onowned.
1 Corinthians	4	3	As an do diaken dana am paybaloren koava o vatavatahen kano paysoysovolan sia no kadwan a tawo o trabaho ko, ta aran yaken am maparin koava ya pangononongan.	Yaken rana am tana pacicin nyo yaken am tana pacicin da yaken no mapacicici so tao am to ko pa nazibwan o akman sang a vazay. Ta ji ko mancyan kapya na, karahet na no vazay ko.
1 Corinthians	4	4	As aran abo o mapanmo ko a pinayrahtan ko am kayan no kadi ko parinyan a makavata so kapia ko takwan no Apo taya o makapanmo kano omhosga so atavo.	Yako jyatenngi o keyyan no ko karatan. Am yako ji mancyan o kabo na. Ta si Ama ta do to o manoyong a makateneng jya.
1 Corinthians	4	5	Dawa mayanong ava o kayan no manmanma a manhosga, ta ito o Apo taya a iya anti so mapaytotwaw so atavo a tayotayohen kano chintokto no tawo, as kanawri na anti no tiempo a kapaychaponged ta a makarawat so pakamian niaten no Dios.	Am ori an, ji nyo manamwaji so tao do ji na pa makaranesi no yai ni Kizisto. Ta si ipirwa mai si Yeso am ori o ipeytotwaw na rana no makakaday a nitayo a vazay a kano amyan do onowned no tao. No marateng rana ori am mamimin o tao a makahap so itoro na jira ni Ama ta do to a sarasaray da. Am palololwen na do mina vazay da.
1 Corinthians	4	6	Tayto ko yamen a inahap kani Apollos a pavoyan no ichakey koaya vatahen tapian maintindi nio kano mapanmo nio o mayanong a akma so nakatolas do Chirin no Dios, ta mayanong ava o katatarek nio sira so pachirawatan no Dios.	Manga kakteh, o ko pancyan no aro a vazay namen si Apolo am ipakateneng nyo do kaji nyo mapeycyakabanan so lamlamsoy na ni Ama ta do to akman so domket do Seysyo a ciring.
1 Corinthians	4	7	Inio a tayto a mapamato so kaparin no kapayserbi nio do Dios am ara paro kasolivan a tinoroh dinio a ipachitarek nio do kadwan a tawo anmana ara paro dira nio a dia tinoroh dinio? Dawa an ara nio narisibi o atavo a mian dinio am mayanong o kaakma nioy pinalaw a mapamahbo so karakohan nio.	Inyo rana mapakazwazway am sino ney mowyat na jinyo a makaharag so tao. Manngwa, nyo jyatenngi o yamakakaday jinyo a yamamimin a yapo ji Ama ta do to? Ikongo nyo peyzezwayan no nitoro na jinyo. Am ori o pavevehan nyo pa so nakenakem nyo an.
