Source (Bikolano),Reference (Tagalog),Base Model Output,Fine-tuned Model Output
serug nahor tera,si serug nahor terah,Serug nahor tera,serug nahor terah
asin abram na midbid man sa ngaran na abraham,si abram na siyang abraham,Asin Abram na midbid man sa ngaran na Abraham,si abram na siyang abraham
an duwang aking lalaki ni abraham iyo si isaac asin si ismael,ang mga anak ni abraham ay sina isaac at ismael,isang duwang aking lalaki ni Abraham at si Isaac at si Ismael,ang mga anak ni abraham ay sina isaac at ismael
an mga aking lalaki ni ismael iyo an nagin pamayo nin doseng tribu an tribung nebaiot ngaran na gikan sa matuang aking lalaki ni ismael kedar adbeel mibsam,ito ang kanilang mga salinlahi ang panganay ni ismael si nebayot at si kedar adbeel at mibsam,isang mga aking lalaki ni ismael iyo isang nagin pamayo nin doseng tribu isang tribung nebaiot ngaran na gikan sa matuang aking lalaki ni ismael kedar adbeel mibsam,ito ang mga pinuno ng mga lipi ng mga anak ni ismael ayon sa kanilang mga angkan si nebayot na anak ni ismael na panganay si kedar na anak ni adbeel na anak ni mibsam
misma duma massa hadad tema,sina misma duma massa hadad at tema,mismo duma massa hadad tema,misma duma massa hadad tema
jetur nafis asin kedema,sina jetur nafis at kedema ito ang mga anak na lalaki ni ismael,jetur nafis asin kedema,jetur nafis at kedema
sa kasaroan ni abraham na si ketura nagkaigwa siya nin anom na aking lalaki na iyo si zimran joksan medan midian isbak asin sua an duwang aking lalaki ni joksan iyo si sheba asin si dedan,at ang mga anak ni ketura na asawanglingkod ni abraham kanyang ipinanganak sina zimram jokshan medan midian isbak at shuah at ang mga anak ni jokshan ay sina seba at dedan,sa kasaroan ni Abraham na si ketura nagkaigwa siya nin anom na aking lalaki na iyo si zimran joksan medan midian isbak asin sua an duwang aking lalaki ni joksan iyo si sheba asin si dedan,ang mga anak ni ketura na asawa ni abraham ay sina zimram jokshan medan midian isbak at shua at ang mga anak ni jokshan ay sina seba at dedan
an mga aking lalaki ni midian iyo si efa efer hanoc abida asin eldaa ini gabos an kapagarakian ni ketura,ang mga anak na lalaki ni midian ay sina efa efer hanoc abida at eldaa lahat ng itoy mga anak ni ketura,isang mga aking lalaki ni midian iyo si efa efer hanoc abida as eldaa ini gabos isang kapagarakian ni ketura,ang mga anak ni midian ay sina efa efer hanoc abida at eldaa lahat ng ito ay mga anak ni ketura
si isaac na aki ni abraham nagkaigwa nin duwang aking lalaki na iyo si esau asin si jacob,at naging anak ni abraham si isaac ang mga anak ni isaac ay sina esau at israel,Si Isaac na aki ni Abraham nagkaigwa nin duwang aking lalaki na iyo si Esau tulad ni Jacob,ang mga anak ni abraham na si isaac ay sina esau at jacob
an mga aking lalaki ni esau iyo si elifaz jeus jalam asin kora,ang mga anak ni esau ay sina elifas reuel jeus jalam at kora,isang mga aking lalaki ni esau iyo si elifaz jeus jalam as kora,ang mga anak ni esau ay sina elifaz jeus jalam at kora
an mga aking lalaki ni elifaz iyo si teman omar zefi gatam kenaz timna asin amalek,ang mga anak ni elifas ay sina teman omar sefi gatam kenaz timna at amalek,isang mga aking lalaki ni elifaz iyo si kaibigan omar zefi gatam kenaz timna as amalek,ang mga anak ni elifaz ay sina teman omar zefi gatam kenaz timna at amalek
an mga aking lalaki ni reuel iyo si nahat zera samma asin mizza,ang mga anak ni reuel ay sina nahat zera shammah at mizza,isang mga aking lalaki ni reel iyo si nahat zera samma as mizza,ang mga anak ni reuel ay sina nahat zera shammah at mizza
an mga pamayo nin edom iyo an minasunod timna alva jetet,at namatay si adad ang mga pinuno ng edom ay sina timna alia jetet,isang mga pamayo nin edom at isang minasunod timna alva jetet,ang mga anak ni edom ay sina timna alva jetet
oholibama ela pinon,oholibama ela pinon,oholibama ela pinon,oholibama ela pinon
kenaz teman mibzar,kenaz teman mibzar,kenaz teman mibzar,kenaz teman mibzar
magdiel asin iram,magdiel at iram ito ang mga pinuno ng edom,Magdiel asin iram,magdiel at iram
an minasunod na mga aking lalaki ni seir iyo an ginikanan kan mga tawong enot na nagerok sa edom si lotan na iyo an ama ni hori asin ni homam si lotan igwa nin tugang na babae na an ngaran timna sa mga aking lalaki ni sobal iyo si alvan manahat ebal sefi asin onam an mga aking lalaki ni zibeon iyo si aias asin ana si ana iyo an ama ni dison an mga aking lalaki ni dison iyo si hamran esban itran asin keran an mga aking lalaki ni ezer iyo si bilhan zaavan asin jaakan an mga aking lalaki ni disan iyo si uz asin si aran,ang mga anak ni seir ay sina lotan sobal zibeon ana dishon eser at disan ang mga anak ni lotan ay sina hori at homam si timna ay kapatid na babae ni lotan ang mga anak ni sobal ay sina alian manahat ebal sefi at onam ang mga anak ni zibeon ay sina aya at ana ang mga anak ni ana ay sina dishon at ang mga anak ni dishon ay sina hamran esban itran at cheran ang mga anak ni eser ay sina bilhan zaavan at jaakan ang mga anak ni disan ay sina uz at aran,a minasunod na mga mga aking lalaki ni seir iyo an ginikanan kan mga taong enot na nagerok sa edom si lotan na iyo an ama ni hori asin ni homam si lotan igwa nin tugang na babae na an ngaran timna sa mga aking lalaki ni sobal iyo si alvan manahat ebal sefi asin onam an mga aking lalaki ni zibeon iyo si aias asin si ana iyo an ama ni dison iyo si hamran esban itran asin keran an mga mga aking lalaki ni ezer iyo si bilhan zavan asin lalaki ja,ang mga anak ni seir ay sina lotan na ama ni hori at ama ni homam ang mga anak ni seir ay sina alvan manahat ebal shefi at onam ang mga anak ni zibeon ay sina aya at ana ang mga anak ni dison ay sina hamran esban itran at keran ang mga anak ni eser ay sina bilhan zaavan at javan
an mga hadeng ini iyo an pasurunodsunod na naghade sa edom bago nagkaigwa nin hade sa israel si bela na aking lalaki ni beor na taga dinhaba si jobab na aking lalaki ni zera na taga bozra si husam na hale sa rehiyon nin teman si hadad na aking lalaki ni bedad na taga avit siya an nakadaog kan mga midianita sa sarong gera sa daga nin moab si samla na taga masreka si shaul na taga rehobot sa eufrates si baalhanan na aking lalaki ni akbor si hadad na taga pau an agom niya iyo si mehetabel na aki ni matred asin makoapo ni mezahab,ang mga ito ang mga hari na naghari sa lupain ng edom bago naghari ang sinumang hari sa mga anak ni israel si bela na anak ni beor at ang pangalan ng kanyang lunsod ay dinhaba nang mamatay si bela si jobab na anak ni zera na tagabosra ang nagharing kapalit niya nang mamatay si jobab si husam sa lupain ng mga temanita ang nagharing kapalit niya nang mamatay si husam si hadad na anak ni bedad na tumalo kay midian sa parang ng moab ang nagharing kapalit niya ang pangalan ng kanyang lunsod ay avith nang mamatay si hadad si samla na tagamasreca ang nagharing kapalit niya nang mamatay si samla si shaul na tagarehobot sa tabi ng ilog ang nagharing kapalit niya nang mamatay si shaul si baalhanan na anak ni acbor ang nagharing kapalit niya nang mamatay si baalhanan si hadad ang nagharing kapalit niya at ang pangalan ng kanyang lunsod ay pai ang pangalan ng kanyang asawa ay mehetabel na anak na babae ni matred na anak na babae ni mezaab,isang mga taga-hanga na ito at isang mga taga-hanga na sumunod sa pag-uusap sa Edom bago nagkaigwa nin hade sa Israel si bela na aking lalaki ni beor na taga dinhaba si Job na aking lalaki ni zera na taga bozra si husam na hale sa rehiyon nin teman si hadad na aking lalaki ni bedad na taga avit siya sa nakadaog kan mga midianita sa sarong gera sa daga nin moab si samla na taga masreka si Saul na taga rehobot sa eufrate si baalhanan na lalaki ni Akbor si hadad na taga pau ang,ito ang mga hari na naghari sa edom bago nagkaroon ng hari sa israel si bela na anak ni beor na tagadinhaba si jobab na anak ni zera na tagabosra si husam na taga temanita si hadad na anak ni bedad na avita na siyang nagtagumpay laban sa mga midianita sa lupain ng moab si samla na tagamasreka si shaul na tagarehobot sa eufrates si baalhanan na anak ni acbor at si hadad na babae ng pau
an doseng aking lalaki ni jacob iyo si ruben simeon levi juda issakar zabulon,ito ang mga anak ni israel sina ruben simeon levi juda isacar zebulon,isang doseng aking lalaki ni Jacob at si Ruben Simeon Levi Juda Isakar Zabulon,ang mga anak ni israel sina ruben simeon levi juda isacar zebulon
dan jose benjamin neftali gad asin asher,dan jose benjamin neftali gad at aser,si dan jose benjamin neftali gad asin asher,dan jose benjamin neftali gad at aser
lima gabos an aking lalaki ni juda sa agom niyang si batsua na sarong cananea nagkaigwa siya nin tolong aking lalaki na iyo si er onan asin sela si er na matuang aki ni juda nagin maraot kaya ginadan siya nin kagurangnan ,ang mga anak ni juda ay sina er onan at shela na ang tatlong ito ay isinilang sa kanya ni batsua na cananea si er na panganay ni juda ay masama sa paningin ng panginoon  at pinatay niya ito,Lima gabos an aking lalaki ni Juda sa aking niyang si batsua na sarong cananea nagkaigwa siya nin tolong aking lalaki na iyo si er onan asin sela si er na matuang aki ni Juda nagin maraot kaya ginadan siya nin kagurangnan ,ang mga anak ni juda kay batsua na tagacanaan ay sina er onan at shela si er na panganay ni juda ay naging masama kayat pinatay siya ng panginoon 
sa manugang niyang si tamar nagkaigwa si juda nin duwa pang aking lalaki na iyo si perez asin si zera,at ipinanganak sa kanya ni tamar na kanyang manugang na babae si perez at si zera lima lahat ang anak na lalaki ni juda,Sa manugang niyang si tamar nagkaigwa si Juda nin duwa pang aking lalaki na iyo si Perez bilang si zera,at ipinanganak sa kanya ni tamar na kanyang manugang na babae sina perez at zera
an mga aking lalaki ni perez iyo si hezron saka si hamul,ang mga anak na lalaki ni perez ay sina hesron at hamul,isang mga aking lalaki ni Perez iyo si hezron saka si hamul,ang mga anak ni perez sina hesron at hamul
an limang aking lalaki ni zera iyo si zimri etan heman calcol asin darda,ang mga anak na lalaki ni zera ay sina zimri etan heman calcol at dara lima silang lahat,isang limang aking lalaki ni zera iyo si zimri at ang parehong pagkalkula bilang darda,ang mga anak ni zera ay sina zimri etan heman calcol at darda lima
si acan na aking lalaki ni carmi iyo an nagdara nin kasakitan sa banwaan nin israel huli sa pagtago kan mga sinamsam na ipinanongod na sa dios,ang mga anak na lalaki ni carmi ay sina acar ang nanggulo sa israel na lumabag tungkol sa itinalagang bagay,Si acan na aking lalaki ni Carmi iyo an nagdara nin kasakitan sa banwaan nin Israel huli sa pagtago kan mga mga sinamsam na ipinanong Diyos na sa Diyos,si acan na anak ni carmi ay gumawa ng kasamaan sa mga anak ni israel sapagkat kanyang ikinubli ang mga samsam
an bugtong na aking lalaki ni etan iyo si azarias,ang anak ni etan ay si azarias,isang bugtong na aking lalaki ni etan iyo si azarias,ang mga anak ni etan ay si azarias
nagkaigwa nin tolong aking lalaki si hezron si jerameel ram asin caleb,ang mga anak naman ni hesron na isinilang sa kanya ay sina jerameel ram at celubai,nagkaigwa nin tolong aking lalaki si hezron si jerameel ram as caleb,ang mga anak ni hesron sina jerameel ram at caleb
si ram iyo an ama ni aminadab na ama ni nason na sarong prinsipe nin juda,naging anak ni ram si aminadab at naging anak ni aminadab si naashon na pinuno ng mga anak ni juda,si ram iyo an ama ni aminadab na ama ni nason na sarong prinsipe nin juda,naging anak ni ram si aminadab at naging anak ni aminadab si naashon na pinuno ng juda
si nason iyo an ama ni salmon na ama ni boaz,naging anak ni naashon si salma at naging anak ni salma si boaz,Si nason iyo an ama ni salmon na ama ni boaz,naging anak ni naashon si salmon at naging anak ni salmon si boaz
si boaz iyo an ama ni obed na ama ni jesse,naging anak ni boaz si obed at naging anak ni obed si jesse,si boaz iyo an ama ni obed na ama ni jesse,naging anak ni boaz si obed at naging anak ni obed si jesse
pito an aking lalaki ni jesse si eliab an matua ikaduwa si abinadab ikatolo si samma,naging anak ni jesse ang kanyang panganay na si eliab si abinadab ang ikalawa si shimea ang ikatlo,pito an aking lalaki ni jesse si eliab an matua ikaduwa si abinadab ikatolo si samma,ang mga anak ni jesse ay sina eliab na panganay si abinadab ang ikalawa si shimea ang ikatlo
ikaapat si netanel ikalima si raddai,si natanael ang ikaapat si radai ang ikalima,ikaapat si netanel ikalima si raddai,si natanael ang ikaapat si radai ang ikalima
ikaanom si ozem asin ikapito si david,si osem ang ikaanim si david ang ikapito,ikaanom si terr asin ikapito si david,si osem ang ikaanim at si david ang ikapito
igwa pa siya nin duwang aking babae si zeruias asin si abigail an aking babae ni jesse na si zeruias nagkaigwa nin tolong aking lalaki na iyo si abisai joab asin asahel,at ang kanilang mga kapatid na babae ay sina zeruia at abigail ang mga naging anak ni zeruia ay sina abisai joab at asahel tatlo,Igo pa siya nin duwang aking babae si zeruias tulad ni si Abigail isang aking babae ni jesse na si zeruias nagkaigwa nin tolong aking lalaki at iyo si abisai joab tulad ni asahel,ang mga anak ni zeruia ay sina zeruia at abigail at ang mga anak ni zeruia ay sina abisai joab at asahel
naagom si abigail ni jeter na sarong ismaelita an saindang aki iyo si amasa,ipinanganak ni abigail si amasa at ang ama ni amasa ay si jeter na ismaelita,naagom si Abigail ni jeter na sarong ismaelita isang saindang aki iyo si amasa,at naging asawa ni abigail si amasa na anak ni jeter na ismaelita
si caleb na aking lalaki ni hezron nagkaigwa nin aking babae ki azuba na saiyang agom jeriot an ngaran kan saindang aki nangaki ini nin tolong lalaki na iyo si jeser sobab asin ardon,at nagkaanak si caleb na anak ni hesron kay azuba na asawa niya at kay jerioth ang mga ito ang kanyang mga anak sina jeser sobad at ardon,Si Caleb na aking lalaki ni Hezron nagkaigwa nin aking babae ki azuba na saiyang agom jeriot an ngaran kan saindang aki nangaki nin tolong lalaki na iyo si jeser sobab asin ardon,at ipinanganak ni caleb na anak ni hesron kay azuba na kanyang asawa si jeriot ang mga anak na lalaki ni caleb sina jeser sobab at ardon
pakagadan ni azuba inagom ni caleb si efrat asin nagkaigwa sinda nin aking lalaki na an ngaran hur,nang mamatay si azuba nagasawa si caleb kay efrata na siyang nagsilang kay hur sa kanya,pakagadan ni azuba inagom ni kaleb si efrat as nagkaigwa sinda nin aking lalaki na isang ngaran hur,nang mamatay si azuba nagasawa si caleb kay efrata at ipinanganak niya sa kanya si hur
si hur iyo an ama ni uri na ama ni bezalel,naging anak ni hur si uri at naging anak ni uri si bezaleel,Si hur iyo an ama ni uri na ama ni bezalel,naging anak ni hur si uri at naging anak ni uri si bezaleel
kan sesenta na an edad ni hezron inagom niya an aking babae ni makir na ama ni gilead nagkaigwa sinda nin aking lalaki na an ngaran segub,pagkatapos ay sumiping si hesron sa anak na babae ni makir na ama ni gilead na siya niyang naging asawa nang siyay may animnapung taong gulang at ipinanganak niya si segub sa kanya,kan sesenta na isang edad ni hezron inagom niya isang aking babae ni makir na ama ni gilead nagkaigwa sinda nin aking lalaki na isang ngaran segub,si hesron ay animnapung taong gulang nang siyay magasawa sa anak na babae ni makir na ama ni gilead at naging anak niya si segub
si segub iyo an ama ni jair na nagkaigwa nin beynte y tres na syudad sa daga nin gilead,naging anak ni segub si jair na nagkaroon ng dalawamput tatlong lunsod sa lupain ng gilead,Si segub iyo an ama ni jair na nagkaigwa nin beynte y tres na syudad sa daga nin Gilead,naging anak ni segub si jair na nagkaroon ng dalawamput tatlong lunsod sa lupain ng gilead
alagad sinakop ni gesur asin ni aram an sesentang banwa duman kaiba an mga baryo nin jair asin kenat sagkod an mga kataraed na banwa an mga tawong nagerok duman mga kapagarakian ni makir na ama ni gilead,ngunit sinakop ni geshur at ni aram ang mga bayan ni jair sa kanila pati ang kenat at ang mga nayon niyon samakatuwid bagay animnapung lunsod lahat ng itoy mga anak ni makir na ama ni gilead,alagad sinakop ni gesur as ni aram an sesentang banwa duman kaiba an mga baryo nin jair asin kenat sagkod an mga kataraed na banwa an mga taong nagerok duman mga kapagarakian ni makir na ama ni gilead,ngunit sinakop ni geshur at ni aram ang jair kenat at ang mga nayon nito ang mga anak ni makir na ama ni gilead animnapung bayan
pakagadan ni hezron inagom ni caleb si efrat na balo kan saiyang ama an saindang aking si asur iyo an ama ni tekoa,at pagkamatay ni hesron sa calebefrata ay ipinanganak ni abias na asawa ni hesron si ashur na ama ni tekoa,pakagadan ni hezron inagom ni kaleb si efrat na balo kan saiyang ama ang isang saindang aking si asur iyo ang ama ni tekoa,pagkatapos na mamatay si hesron ipinanganak ni caleb si ashur na ama ni tekoa at naging asawa niya si efrata na asawa ng kanyang ama
an mga aking lalaki ni jerameel na matuang aking lalaki ni hezron iyo si ram an matua buna oren ozem asin ahias,ang mga anak ni jerameel na panganay ni hesron ay si ram ang panganay at sina buna orem osem at ahias,isang mga aking lalaki ni jerameel na matuang aking lalaki ni hezron iyo si ram isang matua buna oren ozem asin ahias,ang mga anak ni jerameel na panganay ni hesron ay sina ram na panganay buna oren osem at ahias
an mga aking lalaki ni onam iyo si samai saka jada igwa man nin duwang aking lalaki si samai na iyo si nadab asin abisur,ang mga anak ni onam ay sina shammai at jada ang mga anak ni shammai ay sina nadab at abisur,isang mga aking lalaki ni onam iyo si samai saka jada igwa man nin duwang aking lalaki si samai na iyo si nadab as abisur,ang mga anak ni onam ay sina shammai at jada at ang mga anak ni shammai ay sina nadab at abisur
inagom ni abisur si abihail asin nagkaigwa sinda nin duwang aking lalaki si aban asin si molid,ang pangalan ng asawa ni abisur ay abihail at ipinanganak niya sa kanya sina aban at molid,inagom ni abisur si abihail as nagkaigwa sinda nin duwang aking lalaki si aban as si molid,at naging asawa ni abisur si abihail at ipinanganak niya sa kanya sina aban at molid
si nadab na tugang na lalaki ni abisur nagkaigwa man nin duwang aking lalaki si seled asin si appaim nagadan si seled na mayo nin aki,ang mga anak ni nadab ay sina seled at afaim ngunit si seled ay namatay na walang anak,si nadab na tugang na lalaki ni abisur nagkaigwa man nin duwang aking lalaki si seled as si appaim nagadan si seled na mayo nin aki,ang mga anak ni nadab na kapatid ni abisur ay sina seled at afaim si seled ay namatay na walang anak
si appaim iyo an ama ni isi na ama ni sesan na ama ni alai,ang anak ni afaim ay si ishi at ang anak ni ishi ay si sesan ang anak ni sesan ay si alai,Si appaim iyo an ama ni isi na ama ni sesan na ama ni alai,si afaim ang ama ni ishi at naging anak ni ishi si sesan at naging anak ni sesan si alai
si jada na tugang na lalaki ni samai nagkaigwa nin duwang aking lalaki si jeter asin si jonatan nagadan si jeter na mayo nin aki,ang mga anak ni jada na kapatid ni shammai ay sina jeter at jonathan si jeter ay namatay na walang anak,Si jada na tugang na lalaki ni samai nagkaigwa nin duwang aking lalaki si jeter tulad si jonatan nagadan si jeter na mayo nin aki,ang mga anak ni jada na kapatid ni shammai ay sina jeter at jonathan si jeter ay namatay na walang anak
mantang si jonatan nagkaigwa nin duwang aking lalaki si pelet asin si zaza iyo ini an mga kapagarakian ni jerameel,ang mga anak ni jonathan ay sina pelet at zaza ito ang mga anak ni jerameel,mantang si jonatan nagkaigwa nin duwang aking lalaki si pelet bilang si zaza iyo ini ini mga mga kapagarakian ni jerameel,ang mga anak ni jonathan sina pelet at zaza ito ang mga anak ni jerameel
dai nagkaigwa nin aking lalaki si sesan gabos sanang babae igwa siya nin oripon na taga egipto na an ngaran jarha,si sesan ay hindi nagkaanak ng mga lalaki kundi mga babae si sesan ay may isang alipin na tagaehipto na ang pangalan ay jarha,dai nagkaigwa nin aking lalaki si sesan gabos sanang babae igwa siya nin oripon na taga egipto na isang ngaran jarha,si sesan ay walang anak na lalaki maliban sa mga babae si sesan ay may isang aliping tagaehipto na ang pangalan ay jarha
ipinaagom niya saiya an saro sa saiyang mga aking babae nagin aki kan duwang ini si attai,at pinapagasawa ni sesan ang kanyang anak na babae kay jarha na kanyang alipin at naging anak nila ni jarha si attai,ipinaagom niya saiya an saro sa saiyang mga aking babae nagin aki kan duwang ini si attai,ibinigay niya sa kanya ang isa sa kanyang mga anak na babae bilang asawa at ipinanganak niya sa kanya si atai
si attai iyo an ama ni natan na ama ni zabad,si attai ang ama ni natan at naging anak ni natan si zabad,Si attai iyo an ama ni natan na ama ni zabad,naging anak ni attai si natan at naging anak ni natan si zabad
si zabad iyo an ama ni eflal na ama ni obed,si zabad ang ama ni eflal at naging anak ni eflal si obed,Si zabad iyo an ama ni eflal na ama ni obed,naging anak ni zabad si eflal at naging anak ni eflal si obed
si obed iyo an ama ni jehu na ama ni azarias,si obed ang ama ni jehu at naging anak ni jehu si azarias,Si obed iyo an ama ni jehu na ama ni azarias,si obed ang ama ni jehu at naging anak ni jehu si azarias
si azarias iyo an ama ni helez na ama ni eleasa,si azarias ang ama ni heles at naging anak ni heles si elesa,si azarias iyo an ama ni helez na ama ni eleasa,si azarias ang ama ni heles at naging anak ni heles si elesa
si eleasa iyo an ama ni sismai na ama ni sallum,si elesa ang ama ni sismai at naging anak ni sismai si shallum,Si eleasa iyo an ama ni sismai na ama ni sallum,naging anak ni elesa si sismai at naging anak ni sismai si shallum
si sallum iyo an ama ni jekamias na ama ni elisama,si shallum ang ama ni jekamias at naging anak ni jekamias si elisama,si sallum iyo an ama ni jekamias na ama ni elisama,naging anak ni shallum si jekamias at naging anak ni jekamias si elisama
an matuang aking lalaki ni caleb na tugang ni jerameel iyo si mesa si mesa iyo an ama ni zif na ama ni maresa na ama ni hebron,ang mga anak ni caleb na kapatid ni jerameel ay si mesha na kanyang panganay na siyang ama ni zif ang kanyang anak ay si maresha na ama ni hebron,isang matuang aking lalaki ni Caleb na tugang ni jerameel iyo si mesa si mesa iyo ng isang ama ni zif na ama ni maresa na ama ni hebron,ang mga anak ni caleb na kapatid ni jerameel ay sina mesha at naging anak ni mesha si zif at naging anak ni zif si maresha at naging anak ni mesha si hebron
an mga aking lalaki ni hebron iyo si kora tappua rekem asin sema,ang mga anak ni hebron ay sina kora tapua rekem at shema,isang mga aking lalaki ni hebron iyo si kora tappua rekem as sema,ang mga anak ni hebron ay sina kora tappua rekem at shema
si sema iyo an ama ni raham na ama ni jorkeam an tugang niyang si rekem iyo an ama ni samai,si shema ang ama ni raham na ama ni jokneam at naging anak ni rekem si shammai,Si sema iyo an ama ni raham na ama ni jorkeam isang tugang niyang si rekem iyo an ama ni samai,naging anak ni shema si raham naging anak ni jorkeam si rekem na kanyang kapatid at naging anak ni shammai
