Book,Chapter,Verse,Source (Yami),Source (Cleaned),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Mark,2,15,Mavitos o vazay ori am mangay rana koman si Yeso do vahay ni Diwey. No kano nang am aro sira o mapeyvazay so deyking a kano aro a meyraraten a tao a macihza jya. O karwan da am macihza ji Yeso a kano macinanao jya a kahahanghang da rana koman.,mavitos o vazay ori am mangay rana koman si yeso do vahay ni diwey no kano nang am aro sira o mapeyvazay so deyking a kano aro a meyraraten a tao a macihza jya o karwan da am macihza ji yeso a kano macinanao jya a kahahanghang da rana koman,at samantalang siyay nakaupo sa hapagkainan sa kaniyang bahay maraming maniningil ng buwis at mga makasalanan ang nagsisunod sa kaniya at nagsisikain na kasama niya at ng kaniyang mga alagad,"At nangyari, na siya'y nakaupo sa pagkain sa kaniyang bahay, at maraming maniningil ng buwis at mga makasalanang nagsiupong kasalo ni Jesus at ng kaniyang mga alagad: sapagka't sila'y marami, at sila'y nagsisunod sa kaniya.",at nangyari na siyay nakaupo sa pagkain sa kaniyang bahay at maraming maniningil ng buwis at mga makasalanang nagsiupong kasalo ni jesus at ng kaniyang mga alagad sapagkat silay marami at silay nagsisunod sa kaniya,34.064702401067315
Acts,21,5,"Karwan namen rana sira am macihza sira jyamen o sinjya a kapalolo da so katovong da do vahay a kano anak da mangay a tomaitaid jyamen. So nikalovot namen a meylilitod do pasalan a meynozi ji Ama ta do to,",karwan namen rana sira am macihza sira jyamen o sinjya a kapalolo da so katovong da do vahay a kano anak da mangay a tomaitaid jyamen so nikalovot namen a meylilitod do pasalan a meynozi ji ama ta do to,nang silay makaalis kami ay isinama nila ang buong iglesya kasama ang kanyang mga kamaganak at ang kanyang mga anak at kami ay nagpatirapa sa baybayin at nanalangin,"At nang matapos na ang aming mga araw doon, umalis kami at nagpatuloy sa aming paglalakbay, at silang lahat, kasama ang mga asawa at mga anak, ay inihatid kami sa aming patutunguhan hanggang sa labas ng bayan. Pagkatapos naming lumuhod sa baybayin at nanalangin,",at nang matapos na ang aming mga araw doon umalis kami at nagpatuloy sa aming paglalakbay at silang lahat kasama ang mga asawa at mga anak ay inihatid kami sa aming patutunguhan hanggang sa labas ng bayan pagkatapos naming lumuhod sa baybayin at nanalangin,7.585826967846876
Matthew,20,30,"Amyan so rarwa ka mavota tao a omlisna do siri no rarahan. Mamizing da si Yeso a meyliktaw do dang am amlololos sira. Maniring sira am, “Imo rana macikownongan ji Tawey am ikarilaw mo pa yamen.”",amyan so rarwa ka mavota tao a omlisna do siri no rarahan mamizing da si yeso a meyliktaw do dang am amlololos sira maniring sira am imo rana macikownongan ji tawey am ikarilaw mo pa yamen,at may dalawang lalaking bulag na nakaupo sa tabi ng daan at nang marinig nila na si jesus ay lumalakad roon ay sumigaw sila na nagsasabi mahabag ka sa amin ikaw na anak ni david,"May dalawang lalaking bulag na nakaupo sa tabi ng lansangan. Nang marinig nilang nagdaraan si Jesus, sila'y sumigaw na nagsasabi, “Mahabag ka sa amin, Anak ni David!”",may dalawang lalaking bulag na nakaupo sa tabi ng lansangan nang marinig nilang nagdaraan si jesus silay sumigaw na nagsasabi mahabag ka sa amin anak ni david,42.81514393118711
John,5,8,"Maniring si Yeso jya am, “Tanek rana kahap mo na so atpil mo a omalam.”",maniring si yeso jya am tanek rana kahap mo na so atpil mo a omalam,sinabi sa kanya ni jesus buhatin mo ang iyong higaan at lumakad ka,"Sinabi sa kanya ni Jesus, “Bumangon ka, buhatin mo ang iyong higaan at lumakad ka.”",sinabi sa kanya ni jesus bumangon ka buhatin mo ang iyong higaan at lumakad ka,72.9836014355472
Revelation,21,24,Mamimin o peycyamahamahatawan do karawan a mangonong do cirain na. O panipanirsirngen do karawan am mamimin sira mai no keynakman da do ili eya.,mamimin o peycyamahamahatawan do karawan a mangonong do cirain na o panipanirsirngen do karawan am mamimin sira mai no keynakman da do ili eya,at ang lahat ng mga bansa ay magkakanulo sa kanya at ang mga hari sa lupa ay nagtipon sa kanya ng kanilang mga kayamanan,Ang mga bansa ay lalakad sa pamamagitan ng liwanag nito; at ang mga hari sa lupa ay magdadala ng kanilang karangalan sa kanya.,ang mga bansa ay lalakad sa pamamagitan ng liwanag nito at ang mga hari sa lupa ay magdadala ng kanilang karangalan sa kanya,35.56475141263128
Matthew,12,3,"Maniring si Yeso jira am, “Manngwa, ji nyo pa nivilangan o vazay da da Tawey a kano kararay na tao no kakcin da?",maniring si yeso jira am manngwa ji nyo pa nivilangan o vazay da da tawey a kano kararay na tao no kakcin da,at sinabi niya sa kanila hindi ba ninyo nabasa ang ginawa ni david nang siya at ang mga kasamahan niya ay nagutom,"Subalit sinabi niya sa kanila, “Hindi ba ninyo nabasa ang ginawa ni David nang nagutom siya at ang mga kasamahan niya;",subalit sinabi niya sa kanila hindi ba ninyo nabasa ang ginawa ni david nang nagutom siya at ang mga kasamahan niya,78.39204411491599
Mark,2,14,"Mangonong am macita na o mapeyvazay so deyking a tao. Iya rana am anak ni Alevey a meyngaran so Diwey a omlisna do torotorwan no deyking a vahay. Maniring jya si Yeso am, “Macilolo ka jyaken an.” Makarahan am meytatanek rana si Diwey a kapacilolo na rana ji Yeso.",mangonong am macita na o mapeyvazay so deyking a tao iya rana am anak ni alevey a meyngaran so diwey a omlisna do torotorwan no deyking a vahay maniring jya si yeso am macilolo ka jyaken an makarahan am meytatanek rana si diwey a kapacilolo na rana ji yeso,at sa paglabas niya ay nakita niya si levi na anak ni alfeo na nakaupo sa paningilan ng buwis at sinabi niya sa kaniya sumunod ka sa akin at siyay nagtindig at sumunod sa kaniya,"At sa kaniyang pagdaraan, ay nakita niya si Levi na anak ni Alfeo na nakaupo sa paningilan ng buwis, at sinabi niya sa kaniya, Sumunod ka sa akin. At nagtindig siya at sumunod sa kaniya.",at sa kaniyang pagdaraan ay nakita niya si levi na anak ni alfeo na nakaupo sa paningilan ng buwis at sinabi niya sa kaniya sumunod ka sa akin at nagtindig siya at sumunod sa kaniya,80.01865434771304
Mark,7,7,Da ipanci o ciring no tao a ciring ko. So yana ikabo no peypeypangayan no da kararalay nyaken.’ ”,da ipanci o ciring no tao a ciring ko so yana ikabo no peypeypangayan no da kararalay nyaken ,walang kabuluhan ang pagsamba nila sa akin sapagkat silay nagsasalita ng mga aral ng mga tao,"Datapuwa't walang kabuluhan ang pagsamba nila sa akin, Na nagtuturo ng kanilang pinakaaral ng mga utos ng mga tao.",datapuwat walang kabuluhan ang pagsamba nila sa akin na nagtuturo ng kanilang pinakaaral ng mga utos ng mga tao,40.91738556837824
Colossians,1,5,Ta no kavavayo nyo pa nimakamizing so Mapasaray a Ciriciring na ni Ama ta do to am to nyo na nganoyngi o itoro na jinyo ni Ama ta do to do teyngato.,ta no kavavayo nyo pa nimakamizing so mapasaray a ciriciring na ni ama ta do to am to nyo na nganoyngi o itoro na jinyo ni ama ta do to do teyngato,sapagkat kayo ngay nang unang panahon na kayoy nakarinig ng ebanghelyo,"dahil sa pag-asa na nakalaan para sa inyo sa langit, na inyong narinig noong una sa salita ng katotohanan, ang ebanghelyo,",dahil sa pagasa na nakalaan para sa inyo sa langit na inyong narinig noong una sa salita ng katotohanan ang ebanghelyo,1.9871967097264325
Luke,3,21,Teyka manaktak si Yowani so aro a tao am mai si Yeso a kataktak na jya. Meynozi si Yeso am todacyangi o hanit.,teyka manaktak si yowani so aro a tao am mai si yeso a kataktak na jya meynozi si yeso am todacyangi o hanit,at nang mabautismuhan ang buong bayan at nang mabautismuhan din si jesus at siyay nananalangin ang langit ay nabuksan,"Nang mabautismuhan ang buong bayan, at nang mabautismuhan din si Jesus at siya'y nananalangin, ang langit ay nabuksan.",nang mabautismuhan ang buong bayan at nang mabautismuhan din si jesus at siyay nananalangin ang langit ay nabuksan,94.2615147681512
Revelation,19,15,So nipeytotwaw no ipangan do ngongoy na. O ipangan am ibalinas na so peycyamahamahatawan. So icyakma ney vahalang so kowyowyat a tomalamozong no peycyamahamahatawan na. So icyakma ney komates so macioya jya tao a pasingsingtan na jira no tey mowyat a Tao do to.,so nipeytotwaw no ipangan do ngongoy na o ipangan am ibalinas na so peycyamahamahatawan so icyakma ney vahalang so kowyowyat a tomalamozong no peycyamahamahatawan na so icyakma ney komates so macioya jya tao a pasingsingtan na jira no tey mowyat a tao do to,at mula sa kanyang bibig ay may isang manghahasik na tabak upang siyay magdusa ng mga bansa na gaya ng isang bato upang siyay maghari sa kanila at upang silay hahatulan ng diyos na makapangyarihan sa lahat,"Mula sa kanyang bibig ay lumalabas ang isang tabak na matalas, upang sa pamamagitan nito'y tatagain niya ang mga bansa at sila'y kanyang paghaharian ng tungkod na bakal, at paaagusin niya mula sa pisaan ng ubas ang bagsik ng poot ng Diyos na Makapangyarihan sa lahat.",mula sa kanyang bibig ay lumalabas ang isang tabak na matalas upang sa pamamagitan nitoy tatagain niya ang mga bansa at silay kanyang paghaharian ng tungkod na bakal at paaagusin niya mula sa pisaan ng ubas ang bagsik ng poot ng diyos na makapangyarihan sa lahat,21.155233668402776
Romans,5,17,So ikanoyong na no raraten na ni Adam a yapwan no ikawakwak rana no tao. Am arakorako pa o pangangarilawan na ni Ama ta do to a kani Yeso Kizisto a yamapeyvaliw jyaten a abo so raraten do tangain na ni Ama ta do to a manta nyaten so to meyyonong a ikavyay no pahad ta.,so ikanoyong na no raraten na ni adam a yapwan no ikawakwak rana no tao am arakorako pa o pangangarilawan na ni ama ta do to a kani yeso kizisto a yamapeyvaliw jyaten a abo so raraten do tangain na ni ama ta do to a manta nyaten so to meyyonong a ikavyay no pahad ta,sapagkat kung paanong sa pamamagitan ng pagsuway ng isang tao ay dumating ang kamatayan gayundin naman sa pamamagitan ng isang tao ay dumating ang kaharian ng diyos na nagdala ng katuwiran at buhay sa pamamagitan ni jesucristo,"Sapagkat kung paanong sa pagsuway ng isa ay naghari ang kamatayan sa pamamagitan ng isa; ang tumatanggap ng kasaganaan ng biyaya at kaloob ng pagiging matuwid ay lalo pang maghahari sa buhay sa pamamagitan ng isa, si Jesu-Cristo.",sapagkat kung paanong sa pagsuway ng isa ay naghari ang kamatayan sa pamamagitan ng isa ang tumatanggap ng kasaganaan ng biyaya at kaloob ng pagiging matuwid ay lalo pang maghahari sa buhay sa pamamagitan ng isa si jesucristo,15.797839092091035
1 Corinthians,6,19,Nyo jyatenngi o na keyyan jinyo no Seyzi na ni Ama ta do to a nitoro na jinyo? So ikabeken a inyo no kataotao nyo.,nyo jyatenngi o na keyyan jinyo no seyzi na ni ama ta do to a nitoro na jinyo so ikabeken a inyo no kataotao nyo,hindi ba ninyo nalalaman na ang espiritu ng diyos ay nananatili sa inyo at kayoy hindi sa inyong sarili,"O hindi ba ninyo nalalaman na ang inyong katawan ay templo ng Espiritu Santo na nasa inyo, na tinanggap ninyo mula sa Diyos, at kayo ay hindi sa inyong sarili?",o hindi ba ninyo nalalaman na ang inyong katawan ay templo ng espiritu santo na nasa inyo na tinanggap ninyo mula sa diyos at kayo ay hindi sa inyong sarili,24.25800814733445
John,12,42,"Tana akman sang am aro panipanirsirngen da no tao do Yotay a omanoyong ji Yeso. Am kanyahey da no tao a macyagom do Vadisay. Am ori o ji da makadkeci jya ipanci, do kanyahey da pasyain do peyneynozyan da.",tana akman sang am aro panipanirsirngen da no tao do yotay a omanoyong ji yeso am kanyahey da no tao a macyagom do vadisay am ori o ji da makadkeci jya ipanci do kanyahey da pasyain do peyneynozyan da,gayunmay marami sa mga pinuno ang nagsisampalataya sa kanya ngunit dahil sa mga fariseo ay hindi nila ipinahayag baka silay palayasin sa sinagoga,"Gayunman, maging sa mga pinuno ay maraming sumampalataya sa kanya; subalit dahil sa takot sa mga Fariseo ay hindi nila ito ipinahayag, baka sila'y mapalayas sa sinagoga,",gayunman maging sa mga pinuno ay maraming sumampalataya sa kanya subalit dahil sa takot sa mga fariseo ay hindi nila ito ipinahayag baka silay mapalayas sa sinagoga,30.468160956567274
Luke,22,40,"Makaranes sira do dang am ipanci na jira ni Yeso. Maniring am, “Meynozi kamo an, ta kalittan kamo an.”",makaranes sira do dang am ipanci na jira ni yeso maniring am meynozi kamo an ta kalittan kamo an,at nang siyay dumating sa dakong yaon ay sinabi niya sa kanila manalangin kayo upang huwag kayoy makapasok sa tukso,"At nang siya'y dumating sa dakong yaon , ay sinabi niya sa kanila, Magsipanalangin kayo nang huwag kayong magsipasok sa tukso.",at nang siyay dumating sa dakong yaon  ay sinabi niya sa kanila magsipanalangin kayo nang huwag kayong magsipasok sa tukso,62.088287117776176
John,6,63,O yamanta no tao so to meyyonong a ikavyay no pahad na am Seyzi. So ikabo no oyowyat no tao a ipakahap sya. O ko ipanci jinyo a ciriciring am apo do Seyzi na ni Ama ta do to. Ori rana am ikavyay ori.,o yamanta no tao so to meyyonong a ikavyay no pahad na am seyzi so ikabo no oyowyat no tao a ipakahap sya o ko ipanci jinyo a ciriciring am apo do seyzi na ni ama ta do to ori rana am ikavyay ori,ang espiritu ang nagbibigay buhay sa laman ang mga salitang sinalita ko sa inyo ay espiritu at buhay,"Ang Espiritu ang nagbibigay-buhay, ang laman ay walang anumang pakinabang. Ang mga salitang sinabi ko sa inyo ay espiritu at buhay.",ang espiritu ang nagbibigaybuhay ang laman ay walang anumang pakinabang ang mga salitang sinabi ko sa inyo ay espiritu at buhay,40.687025026059
1 Corinthians,6,1,No amyan so ikazyak nyo a vazay no akma nyoy kakteh do cinai am ji nyo mancyan do ji manaralay a mapacicici a tao. Ta to nyo na zavata do akma nyoy kakteh do cinai.,no amyan so ikazyak nyo a vazay no akma nyoy kakteh do cinai am ji nyo mancyan do ji manaralay a mapacicici a tao ta to nyo na zavata do akma nyoy kakteh do cinai,ngunit kung mayroon kang isang bagay laban sa isang kapatid huwag mong ituring ito sa mga taong hindi mananampalataya,"Kapag ang sinuman sa inyo ay may reklamo laban sa isang kapatid, mangangahas ba siyang magsakdal sa harapan ng mga masasama at hindi sa harapan ng mga banal?",kapag ang sinuman sa inyo ay may reklamo laban sa isang kapatid mangangahas ba siyang magsakdal sa harapan ng mga masasama at hindi sa harapan ng mga banal,9.077058434723314
John,14,25,“No kapacikaop ko pa jinyo am nipanci ko na ya jinyo.,no kapacikaop ko pa jinyo am nipanci ko na ya jinyo,ang mga bagay na ito ay sinalita ko sa inyo samantalang akoy nananatili pa sa inyo,"Ang mga bagay na ito'y sinalita ko sa inyo, samantalang ako'y tumatahang kasama pa ninyo.",ang mga bagay na itoy sinalita ko sa inyo samantalang akoy tumatahang kasama pa ninyo,46.892438882117254
John,7,5,O ikakman da sang da wari na am ji da pa nganoyngi si Yeso.,o ikakman da sang da wari na am ji da pa nganoyngi si yeso,sapagkat hindi pa nagsisampalataya sa kanya ang kanyang mga kapatid,Sapagka't kahit ang kaniyang mga kapatid man ay hindi nagsisisampalataya sa kaniya.,sapagkat kahit ang kaniyang mga kapatid man ay hindi nagsisisampalataya sa kaniya,9.042713792226897
1 John,2,26,O yadomket do teygami ko a ciring am yako ipaziman jinyo do kaji nyo ngamizngan so malas so ipangnanao a tao.,o yadomket do teygami ko a ciring am yako ipaziman jinyo do kaji nyo ngamizngan so malas so ipangnanao a tao,sa mga bagay na ito ay isinulat ko sa inyo upang kayoy mangagingat sa mga taong ito,Isinulat ko sa inyo ang mga bagay na ito tungkol sa mga mandaraya sa inyo.,isinulat ko sa inyo ang mga bagay na ito tungkol sa mga mandaraya sa inyo,32.22538601891173
Luke,10,36,"Maniring si Yeso do mangnanao no iwawalam ni Ama ta do to a tao am, “Naknakmen mo pala o tatlo a ka tao ang. Sino jira ori o manoyong a marilaw no icyatatao na.”",maniring si yeso do mangnanao no iwawalam ni ama ta do to a tao am naknakmen mo pala o tatlo a ka tao ang sino jira ori o manoyong a marilaw no icyatatao na,at sa palagay mo alin sa tatlong ito ang naging kapitbahay sa kaniyang kapwa,"Sino sa tatlong ito, sa akala mo, ang nagpakilalang kapuwa tao sa nahulog sa kamay ng mga tulisan?",sino sa tatlong ito sa akala mo ang nagpakilalang kapuwa tao sa nahulog sa kamay ng mga tulisan,9.818135975194961
Luke,23,13,Nilovot na sira ni Pilato o panipanirsirngen no mapatanatanang so nakem da si Ama ta do to a kano kamanrarakehan da tao a kano aro a tao.,nilovot na sira ni pilato o panipanirsirngen no mapatanatanang so nakem da si ama ta do to a kano kamanrarakehan da tao a kano aro a tao,at tinipon ni pilato ang mga pangulong saserdote at ang mga pinuno at ang bayan,"At tinipon ni Pilato ang mga pangulong saserdote, at ang mga pinuno at ang bayan,",at tinipon ni pilato ang mga pangulong saserdote at ang mga pinuno at ang bayan,100.00000000000004
Luke,2,32,Iya rana am akmey araw a tomiray so beken a tao do Yotay. So torwan mo no azwazway mo jyamen a Isedi a tao.”,iya rana am akmey araw a tomiray so beken a tao do yotay so torwan mo no azwazway mo jyamen a isedi a tao,isang ilaw sa mga hentil at isang kaluwalhatian sa israel,"isang ilaw upang magpahayag sa mga Hentil, at para sa kaluwalhatian ng iyong bayang Israel.”",isang ilaw upang magpahayag sa mga hentil at para sa kaluwalhatian ng iyong bayang israel,20.96902555852457
Mark,1,3,"Amyan so tao a omlololos do kabwan no nihakawan no tao a manci no, ‘Inyo rana am wadwadan nyo o rarahan no Panirsirngen ta, ikatazineng na rana no pangonongan na.’ ”",amyan so tao a omlololos do kabwan no nihakawan no tao a manci no inyo rana am wadwadan nyo o rarahan no panirsirngen ta ikatazineng na rana no pangonongan na ,ang tinig ng isang sumisigaw sa ilang ihanda ninyo ang daan ng panginoon ihanda ninyo ang kanyang mga landas,"ang tinig ng isang sumisigaw sa ilang: ‘Ihanda ninyo ang daan ng Panginoon, Tuwirin ninyo ang kanyang mga landas,’”",ang tinig ng isang sumisigaw sa ilang ihanda ninyo ang daan ng panginoon tuwirin ninyo ang kanyang mga landas,84.92326635760686
Luke,9,7,Mamizing no panirsirngen no Cyadidi a meyngaran si Helote o aro a vazay ni Yeso am marahet o onowned na. Ta ji na tenngi o kapwan na no vazay na ni Yeso. Ta patolinen da si Yeso ji Yowani a nimirwa a mavyay.,mamizing no panirsirngen no cyadidi a meyngaran si helote o aro a vazay ni yeso am marahet o onowned na ta ji na tenngi o kapwan na no vazay na ni yeso ta patolinen da si yeso ji yowani a nimirwa a mavyay,nabalitaan ni herodes na tetrarka ang lahat ng mga bagay na nangyari kay jesus at siyay nalungkot sapagkat sinasabi nila na si juan ay muling nabuhay mula sa mga patay,"Nabalitaan noon ni Herodes na tetrarka ang lahat nang nangyari at siya'y naguluhan, sapagkat sinasabi ng ilan na si Juan ay muling binuhay mula sa mga patay,",nabalitaan noon ni herodes na tetrarka ang lahat nang nangyari at siyay naguluhan sapagkat sinasabi ng ilan na si juan ay muling binuhay mula sa mga patay,39.877310237427885
Matthew,24,9,“No marateng ori am rakpen da inyo a pakakasin a kawakwak da jinyo. So pacioyyan da jinyo a mahap so vazay ko.,no marateng ori am rakpen da inyo a pakakasin a kawakwak da jinyo so pacioyyan da jinyo a mahap so vazay ko,kayat kayoy ibibigay ng mga tao sa kapighatian at kayoy papatayin dahil sa aking pangalan kayoy kapopootan nila,“Pagkatapos ay ibibigay kayo sa kapighatian at kayo'y papatayin; at kayo'y kapopootan ng lahat ng mga bansa dahil sa aking pangalan.,pagkatapos ay ibibigay kayo sa kapighatian at kayoy papatayin at kayoy kapopootan ng lahat ng mga bansa dahil sa aking pangalan,33.903916544908675
