Book,Chapter,Verse,Source (Pangasinan),Source (Cleaned),Pivot (Bikolano),Translation (Tagalog),Reference (Tagalog),Reference (Cleaned),BLEU
Acts,13,52,Saramay mananisia balet ed Antiokia agaylay liket da tan napno ray Ispiritu Santo.,saramay mananisia balet ed antiokia agaylay liket da tan napno ray ispiritu santo,an mga paratubod sa antiokia napano nin kaogmahan asin kan espiritu santo,at ang mga alagad ay napuno ng kagalakan at ng espiritu santo,At ang mga alagad ay napuspos ng kagalakan at ng Espiritu Santo.,at ang mga alagad ay napuspos ng kagalakan at ng espiritu santo,73.48889200874659
Matthew,25,24,"Tinmombuk imay naitday sanliboy pisos, tan inkuanto, ‘Amo, amtak a mapeget ka. Amtak a manaani kad ag yo nantaneman, tan manggagapas kad ag mo nampasekan.",tinmombuk imay naitday sanliboy pisos tan inkuanto amo amtak a mapeget ka amtak a manaani kad ag yo nantaneman tan manggagapas kad ag mo nampasekan,nagdolok an sorogoon na tinawan nin sangribong pesos asin nagsabi kagurangnan aram kong saro kang maringis na tawo nagaani ka sa dai mo itinanom asin nagaani ka sa dai mo pinagpagalan,at ang tumanggap ng isang talento ay lumapit at sinabi sa kaniya panginoon nalalaman ko na ikaw ay isang taong mapangalunya na nagaani sa hindi mo inihasik at nagaani sa hindi mo pinagsikapan,"At lumapit naman ang tumanggap ng isang talento at sinabi, Panginoon, nakikilala kita na ikaw ay taong mapagmatigas, na gumagapas ka doon sa hindi mo hinasikan, at nagaani ka doon sa hindi mo sinabugan;",at lumapit naman ang tumanggap ng isang talento at sinabi panginoon nakikilala kita na ikaw ay taong mapagmatigas na gumagapas ka doon sa hindi mo hinasikan at nagaani ka doon sa hindi mo sinabugan,23.378972843634223
Acts,25,25,"Balet anggapoy arumog kon makasengeg no akin et patey so dusa to. Kinerew ton say Impirador so manintinsiad sikato, kanyan ginetmak ibakik.",balet anggapoy arumog kon makasengeg no akin et patey so dusa to kinerew ton say impirador so manintinsiad sikato kanyan ginetmak ibakik,alagad mayo akong nakuang sala saiya na maninigong padusahan nin kagadanan huli ta nakiolay siya ki cesar kaya nagdesisyon akong ipadara siya saiya,ngunit wala akong natagpuang anuman sa taong ito na karapatdapat sa kamatayan subalit siyay nakiusap kay cesar at aking pinanukala na siyay suguin,"Ngunit aking natagpuang wala siyang ginawang anuman na marapat sa kamatayan; at yamang siya mismo ay dumudulog sa emperador, ipinasiya kong siya'y ipadala.",ngunit aking natagpuang wala siyang ginawang anuman na marapat sa kamatayan at yamang siya mismo ay dumudulog sa emperador ipinasiya kong siyay ipadala,5.0434268098327735
Matthew,13,47,“Say Panariay tawen aliling to met so baleg ya iket ya impelag ed dayat tan akala na amin a klasiy sira.,say panariay tawen aliling to met so baleg ya iket ya impelag ed dayat tan akala na amin a klasiy sira,an kahadean nin langit nakakaagid man sa sarong dakulang hikot na itinapok sa dagat asin nadakop kan gabos na klase nin sira,muli ngang maihahambing ang kaharian ng langit sa isang lambat na inihagis sa dagat at nahuli ng lahat ng uri ng isda,"Tulad din naman ang kaharian ng langit sa isang lambat, na inihulog sa dagat, na nakahuli ng sarisaring isda :",tulad din naman ang kaharian ng langit sa isang lambat na inihulog sa dagat na nakahuli ng sarisaring isda ,35.78835436145691
John,20,26,"Kayariy waloy agew, nantitipon lamet ed loob na abung iray disipulo to. Kaiba ra lay Tomas. Akatalak iray puirta, balet linmoob si Jesus tan nanalagey ed pegley da. Inkuanto, “Say kareenan komun so walad sikayo!”",kayariy waloy agew nantitipon lamet ed loob na abung iray disipulo to kaiba ra lay tomas akatalak iray puirta balet linmoob si jesus tan nanalagey ed pegley da inkuanto say kareenan komun so walad sikayo,pakalihis nin walong aldaw an saiyang mga disipulo yaon giraray sa laog kan harong kaiba na ninda si tomas an mga pinto sinerahan alagad naglaog si jesus nagtindog sa tahaw ninda asin nagsabi mapasaindo an katoninongan,pagkaraan ng walong araw ay muling nasa loob ng bahay ang kanyang mga alagad at kasama nila si tomas ang mga pinto ay nakasara ngunit pumasok si jesus tumayo sa gitna at sinabi kapayapaan ang sumainyo,"At pagkaraan ng walong araw ay muling nasa loob ng bahay ang kaniyang mga alagad, at kasama nila si Tomas. Dumating si Jesus, nang nangapipinid ang mga pinto, at tumayo sa gitna, at sinabi, Kapayapaan ang sumainyo.",at pagkaraan ng walong araw ay muling nasa loob ng bahay ang kaniyang mga alagad at kasama nila si tomas dumating si jesus nang nangapipinid ang mga pinto at tumayo sa gitna at sinabi kapayapaan ang sumainyo,65.32752854243529
Psalms,48,10,"Idadayew kay amin a katoowan ed inerman a pasen, tan say inkabantug mo lalaknaban toy intiron mundo. Matonung so panooley mo;",idadayew kay amin a katoowan ed inerman a pasen tan say inkabantug mo lalaknaban toy intiron mundo matonung so panooley mo,oomawon ka kan gabos na tawo saen man na lugar asin an bilog na kinaban pano kan saimong kabantogan matanos an saimong mga paghahade,purihin ka ng lahat ng mga bansa at ang buong lupa ay mapupuno ng iyong kaluwalhatian ang iyong mga pinuno ay matuwid,"Gaya ng iyong pangalan, O Diyos, gayon ang papuri sa iyo, ay nakakarating hanggang sa mga dulo ng lupa. Ang iyong kanang kamay ay puspos ng tagumpay.",gaya ng iyong pangalan o diyos gayon ang papuri sa iyo ay nakakarating hanggang sa mga dulo ng lupa ang iyong kanang kamay ay puspos ng tagumpay,5.0121434136686895
Ezekiel,44,8,"Anta sikara komun so mangasikasod saray masanton bengatla ed Timplok, impaasikaso ra la laingen ed saray sangkaili.",anta sikara komun so mangasikasod saray masanton bengatla ed timplok impaasikaso ra la laingen ed saray sangkaili,kun sinda an namamahala kan banal na mga bagay sa sakong templo pinaataman na ninda an mga dayuhan,kapag silay naglilingkod sa mga banal na bagay sa aking santuwaryo silay naglilingkod sa mga dayuhan,Hindi ninyo iningatan ang aking mga banal na bagay; kundi kayo'y naglagay ng mga dayuhan upang mangasiwa sa aking santuwaryo.,hindi ninyo iningatan ang aking mga banal na bagay kundi kayoy naglagay ng mga dayuhan upang mangasiwa sa aking santuwaryo,19.219163249555063
1 Kings,12,8,Balet ag dinengel nen Roboam so simbawa ra. Ingen linmad saray lalakin binmaleg a kaiba to a sikaray sumisimbawa to la natan.,balet ag dinengel nen roboam so simbawa ra ingen linmad saray lalakin binmaleg a kaiba to a sikaray sumisimbawa to la natan,alagad dai dinangog ni rehoboam an hatol ninda nagduman siya sa mga lalaki na nagdakula kaiba niya na ngunyan mga parahatol niya,ngunit ayaw niyang pakinggan ang payo nila siyay pumunta sa mga lalaking lumaki na kasama niya at ngayon ay mga tagapayo niya,"Ngunit tinalikuran niya ang payo ng matatanda na kanilang ibinigay sa kanya, at humingi ng payo sa mga kabataang lalaking nagsilaking kasama niya na tumayo sa harap niya.",ngunit tinalikuran niya ang payo ng matatanda na kanilang ibinigay sa kanya at humingi ng payo sa mga kabataang lalaking nagsilaking kasama niya na tumayo sa harap niya,5.30036338946112
Obadiah,1,1,"Sikato yay propisiya nen Obadias—say imbaga na Katawan a DIOS nipaakar ed bansa na Edom. Say Katawan imbaki tod saray bansa so managbalita to, et nadngel mi so imbalita to: “Mamparaan kayo! Onla itayon mibakal ed Edom!”",sikato yay propisiya nen obadiassay imbaga na katawan a dios nipaakar ed bansa na edom say katawan imbaki tod saray bansa so managbalita to et nadngel mi so imbalita to mamparaan kayo onla itayon mibakal ed edom,iyo ini an mensahe ni obadias an itinaram nin kagurangnan dios manongod sa daga nin edom sinugo nin kagurangnan an saiyang sugo sa mga nasyon asin nadangog mi an saiyang mensahe magandam kamo asin salakayon ta an edom,ang salita ni obadias ganito ang sabi ng panginoong diyos tungkol sa lupain ng edom ang panginoon ay nagpadala ng kanyang sugo sa mga bansa at aming narinig ang kanyang mensahe maghanda kayo at tayoy lumaban sa kanya,"Ang pangitain ni Obadias. Ganito ang sabi ng Panginoong Diyos tungkol sa Edom: Kami ay nakarinig ng mga balita mula sa Panginoon , at isang sugo ang ipinadala sa mga bansa: “Bumangon kayo! Tumindig tayo laban sa kanya sa pakikipagdigma!”",ang pangitain ni obadias ganito ang sabi ng panginoong diyos tungkol sa edom kami ay nakarinig ng mga balita mula sa panginoon  at isang sugo ang ipinadala sa mga bansa bumangon kayo tumindig tayo laban sa kanya sa pakikipagdigma,30.985998156120594
Mark,5,9,"Tinepet nen Jesus, “Antoy ngaran mo?” “Say ngaran ko ‘Amayamay,’ ta dakel kami,” inkuanto.",tinepet nen jesus antoy ngaran mo say ngaran ko amayamay ta dakel kami inkuanto,hinapot siya ni jesus ano an ngaran mo nagsimbag siya an ngaran ko mga tawo huli ta dakul kami,at tinanong siya ni jesus ano ang pangalan mo at sinabi niya ang aking pangalan ay pulutong sapagkat marami kami,"At tinanong niya siya, Ano ang pangalan mo? At sinabi niya sa kaniya, Pulutong ang pangalan ko; sapagka't marami kami.",at tinanong niya siya ano ang pangalan mo at sinabi niya sa kaniya pulutong ang pangalan ko sapagkat marami kami,41.520940062605305
Joshua,18,2,Wala ni ray pitoran tribu na saray totood Israel ya ag ni ra apabetangan na dalin.,wala ni ray pitoran tribu na saray totood israel ya ag ni ra apabetangan na dalin,igwa pa nin pitong tribu sa banwaan nin israel na dai pa tinawan kan saindang kahirasan,may ibang pitong lipi sa mga anak ni israel na hindi pa tumanggap ng kanilang mana,May nalalabi pang pitong lipi sa mga anak ni Israel na hindi pa nababahaginan ng kanilang pamana.,may nalalabi pang pitong lipi sa mga anak ni israel na hindi pa nababahaginan ng kanilang pamana,60.023149852354116
Isaiah,41,4,"Siopay angyabuloy ya onyay nagawa? Siopay angigetar na amin ya agawgawa ed imbeneg? Siak a Katawan a wala la ed gapoy gapo, tan siak a Katawan so niwala ed kasamputan.",siopay angyabuloy ya onyay nagawa siopay angigetar na amin ya agawgawa ed imbeneg siak a katawan a wala la ed gapoy gapo tan siak a katawan so niwala ed kasamputan,siisay an naggibo kaini siisay an naggibo kaini ako an kagurangnan na yaon kaidto sa kapinonan asin ako an kagurangnan an maabot sa kataposan,sinong gumawa ng mga bagay na ito sinong gumawa ng mga bagay na ito ako ang panginoon na siyang una at ang panginoon na darating sa wakas,"Sinong nagbalak at nagsagawa nito, na tumawag ng mga salinlahi mula nang pasimula? Akong Panginoon , ang una, at kasama ng huli, Ako nga.",sinong nagbalak at nagsagawa nito na tumawag ng mga salinlahi mula nang pasimula akong panginoon  ang una at kasama ng huli ako nga,4.935860893352708
Deuteronomy,32,12,Say Katawan a bukor so angiwanwan ed saray totoo to ya anggapoy tinmulong a dios na arum a bansa.,say katawan a bukor so angiwanwan ed saray totoo to ya anggapoy tinmulong a dios na arum a bansa,an kagurangnan sana an nangenot sa saiyang banwaan na mayo nin diosdios na dayuhan,ang panginoon lamang ang pumatnubay sa kanyang bayan na walang ibang diyos,"tanging ang Panginoon ang pumapatnubay sa kanya, at walang ibang diyos na kasama siya.",tanging ang panginoon ang pumapatnubay sa kanya at walang ibang diyos na kasama siya,15.090679227647138
Mark,1,36,Balet inanap nen Simon tan saray kakaiba to si Jesus.,balet inanap nen simon tan saray kakaiba to si jesus,hinanap siya ni simon asin kan saiyang mga kairiba,at si simon at ang kaniyang mga kasamahan ay nagsisunod sa kaniya,Hinanap siya ni Simon at ng mga kasamahan niya.,hinanap siya ni simon at ng mga kasamahan niya,9.578464408619825
Isaiah,1,24,"Kanyan dengel yo natan so ibabaga na Katawan a Makapanyarin-amin, say Makapanyarin Dios na Israel, “Ombawi ak ed sikayo ran kalaban ko, et ag yo ak lad satan nasigensigen.",kanyan dengel yo natan so ibabaga na katawan a makapanyarinamin say makapanyarin dios na israel ombawi ak ed sikayo ran kalaban ko et ag yo ak lad satan nasigensigen,kaya hinanyoga nindo ngunyan an itinataram nin kagurangnan nin mga hukbo an mapangyaring dios nin israel babaloson ko an sakong mga kaiwal asin dai na kamo matatakot sako,kayat ngayon ay pakinggan ninyo ang salita ng panginoon ng mga hukbo ng makapangyarihang diyos ng israel akoy maghihiganti at hindi na kayo matatakot pa sa akin,"Kaya't ang Panginoon , Diyos ng mga hukbo, ang Makapangyarihan ng Israel, ay nagsasabi, “Ah, aking ibubuhos ang aking poot sa aking mga kaaway, at maghihiganti ako sa aking mga kaaway.",kayat ang panginoon  diyos ng mga hukbo ang makapangyarihan ng israel ay nagsasabi ah aking ibubuhos ang aking poot sa aking mga kaaway at maghihiganti ako sa aking mga kaaway,7.931700445064865
Matthew,11,13,"Ta sinalita da ray propita tan say Ganggan nen Moises so nipaakar ed Panariay tawen, anggad insabi nen Juan.",ta sinalita da ray propita tan say ganggan nen moises so nipaakar ed panariay tawen anggad insabi nen juan,huli ta an mga propeta asin an katogonan ni moises naghula sagkod ki juan,sapagkat ang mga propeta at ang kautusan ay nagpahayag hanggang kay juan,Sapagka't ang lahat ng mga propeta at ang kautusan hanggang kay Juan ay nagsipanghula.,sapagkat ang lahat ng mga propeta at ang kautusan hanggang kay juan ay nagsipanghula,40.39323667732871
Ezekiel,25,16,Kanyan ibabawag ko a dogpaan ko ray Filisteo tan paandipaten ko ra. Deralen koy balang too ya atilak a manaayam ed Patar na Filistia.,kanyan ibabawag ko a dogpaan ko ray filisteo tan paandipaten ko ra deralen koy balang too ya atilak a manaayam ed patar na filistia,kaya minapahayag ako na sasalakayon ko an mga filisteo asin paparaon ko sinda gagadanon ko an gabos na matatada sa kapantayan nin mga filisteo,kayat ganito ang sabi ng panginoon narito akoy darating laban sa mga filisteo at aking lilipulin sila at aking lilipulin ang nalabi sa libis,"kaya't ganito ang sabi ng Panginoong Diyos : Aking iuunat ang aking kamay laban sa mga Filisteo, at aking tatanggalin ang mga Kereteo, at wawasakin ko ang nalalabi sa baybaying-dagat.",kayat ganito ang sabi ng panginoong diyos  aking iuunat ang aking kamay laban sa mga filisteo at aking tatanggalin ang mga kereteo at wawasakin ko ang nalalabi sa baybayingdagat,29.95554137445147
Colossians,4,16,"Kasumpal yon nabasa yan sulat, ipabasa yo pa met ed iglisia a walad Laodicea. Basa yo met ed satan so sulat a manlapud man.",kasumpal yon nabasa yan sulat ipabasa yo pa met ed iglisia a walad laodicea basa yo met ed satan so sulat a manlapud man,pakabasa nindo kan surat na ini ipabasa man nindo sa simbahan sa laodicea basahon man nindo an surat na hale sa laodicea,at kapag nabasa na ang sulat na ito sa inyo basahin din naman ninyo sa iglesya ng mga tagalaodicea at basahin din ninyo ang sulat na mula sa laodicea,"At kapag nabasa na ang sulat na ito sa inyo, ay ipabasa rin ninyo sa iglesya ng mga taga-Laodicea; at basahin naman ninyo ang sulat na mula sa Laodicea.",at kapag nabasa na ang sulat na ito sa inyo ay ipabasa rin ninyo sa iglesya ng mga tagalaodicea at basahin naman ninyo ang sulat na mula sa laodicea,75.148515620406
Numbers,5,22,"Onloob komun ed eges mo yan danum, palaragen to, tan pakebeten toy kayaryan mo.” Samay bii onebat, “Onabubon ak; ontan pa komun so gawaen na Katawan .”",onloob komun ed eges mo yan danum palaragen to tan pakebeten toy kayaryan mo samay bii onebat onabubon ak ontan pa komun so gawaen na katawan ,lumaog logod sa saimong tulak an tubig na ini tanganing magdakul asin magkosog an saimong mga gubing nagsimbag an babae nagoyon ako gibohon logod iyan nin kagurangnan ,ang tubig na ito ay pumasok nawa sa iyong tiyan at ang iyong mga suot ay magpakarami at magpakalalaki at sinabi ng babae sa kanya akoy sumasaiyo gayon ang gawin ng panginoon ,"Ang tubig na ito na nagdadala ng sumpa ay pumasok nawa sa iyong katawan, at ang iyong katawan ay pamagain at ang iyong hita ay palaylayin.’ At ang babae ay magsasabi, ‘Amen.’",ang tubig na ito na nagdadala ng sumpa ay pumasok nawa sa iyong katawan at ang iyong katawan ay pamagain at ang iyong hita ay palaylayin at ang babae ay magsasabi amen,24.109552458512166
Daniel,11,8,Awiten tod Egipto iray talintaoy diriyos da tan saray kagawaan a balituk tan pilak a nisaklang ed saraman a diriyos. Kalabas na pigaran taon a walay kareenan ed kaliber-liber,awiten tod egipto iray talintaoy diriyos da tan saray kagawaan a balituk tan pilak a nisaklang ed saraman a diriyos kalabas na pigaran taon a walay kareenan ed kaliberliber,dadarahon niya sa egipto an mga ladawan kan saindang mga diosdios asin an mga kagamitan na gibo sa plata saka bulawan na idinolot sa mga diosdios pakatapos na magkaigwa nin katoninongan sa gabos na lugar,at dadalhin niya sa ehipto ang mga larawang inanyuan ng kanilang mga diyusdiyosan at ang mga sisidlang pilak at ginto na kanilang inialay sa ibang mga diyos at magkakaroon ng kapayapaan sa buong lupain,Dadalhin din niya sa Ehipto bilang samsam ng digmaan ang kanilang mga diyos pati ang kanilang mga larawang hinulma at ang kanilang mahahalagang sisidlang pilak at ginto. Sa loob ng ilang taon ay iiwasan niyang salakayin ang hari ng hilaga.,dadalhin din niya sa ehipto bilang samsam ng digmaan ang kanilang mga diyos pati ang kanilang mga larawang hinulma at ang kanilang mahahalagang sisidlang pilak at ginto sa loob ng ilang taon ay iiwasan niyang salakayin ang hari ng hilaga,12.440335847082356
Acts,28,30,Duay taon a nanayam ed Roma si Pablo diad abung ya inabangan to tan inaawat ton amin iray linmad sikato.,duay taon a nanayam ed roma si pablo diad abung ya inabangan to tan inaawat ton amin iray linmad sikato,duwang taon na nagerok si pablo duman sa harong na inarkila niya asin inaako niya an gabos na minaduman saiya,siyay nanirahan sa loob ng dalawang taon sa kanyang sariling bahay na kinaroroonan at tinatanggap niya ang lahat ng pumaparito sa kanya,"Nanirahan siya roon ng buong dalawang taon sa kanyang sariling inuupahang bahay, at tinatanggap ang lahat ng sa kanya'y nagsasadya,",nanirahan siya roon ng buong dalawang taon sa kanyang sariling inuupahang bahay at tinatanggap ang lahat ng sa kanyay nagsasadya,25.85071874780497
2 Kings,17,36,"Nepeg yo ak a takotan, siak a Katawan , ya angipaway ed sikayod Egipto diad panamegley na baleg a pakayari; nepeg kayon ondakmomod siak tan mangibagat ed siak.",nepeg yo ak a takotan siak a katawan  ya angipaway ed sikayod egipto diad panamegley na baleg a pakayari nepeg kayon ondakmomod siak tan mangibagat ed siak,dapat kamong matakot sako ako an kagurangnan na nagluwas saindo sa egipto sa paagi kan saiyang dakulang kapangyarihan dapat kamong magluhod sako asin magdolot nin sakripisyo,kayoy matatakot sa panginoon sapagkat ako ang panginoon na naglabas sa inyo sa lupain ng ehipto sa pamamagitan ng dakilang kapangyarihan at kayoy magsisisamba sa akin at maghahandog,"kundi matatakot kayo sa Panginoon , na siyang naglabas sa inyo mula sa lupain ng Ehipto na may dakilang kapangyarihan at may nakaunat na kamay. Luluhod kayo sa kanya, at sa kanya kayo maghahandog.",kundi matatakot kayo sa panginoon  na siyang naglabas sa inyo mula sa lupain ng ehipto na may dakilang kapangyarihan at may nakaunat na kamay luluhod kayo sa kanya at sa kanya kayo maghahandog,15.939781996093997
